# jd	phase	mag	magdiff	activity
2453585.71035	0.00429000000000002	12.81937	-0.0197783006460881	passive
2453089.86772	0.00507000000000002	12.79431	-0.0445192916953729	passive
2453537.82007	0.00565000000000004	12.82302	-0.0155634172239427	passive
2453681.50322	0.00595000000000001	12.76131	-0.0771433742529659	passive
2452892.66233	0.00705999999999996	12.76761	-0.0703454541547064	passive
2454760.53318	0.00739000000000001	12.81478	-0.0230223966051586	active
2453413.86667	0.00841999999999998	12.83635	-0.000960110759148591	passive
2455295.82398	0.00856999999999997	12.83979	0.00255340122272685	passive
2452940.56137	0.00880999999999998	12.80536	-0.031758027169797	passive
2453475.85744	0.01203	12.76967	-0.0657468292533299	passive
2454971.8528	0.01525	12.8327	-0.000820571235632173	passive
2452878.60155	0.01619	12.83429	0.00135762076631174	passive
2454926.78121	0.01709	12.85271	0.020354820628592	passive
2455453.61692	0.01714	12.72288	-0.109442716782532	active
2455343.7462	0.01855	12.82052	-0.0108704757292184	passive
2453650.54874	0.01867	12.84939	0.0180803402381944	passive
2454247.81862	0.0194800000000001	12.78425	-0.046508226551957	active
2455501.518	0.01962	12.77426	-0.0564018815722758	active
2452813.81535	0.02034	12.81471	-0.0154516493152226	passive
2453619.56393	0.02062	12.87359	0.0436250067173294	passive
2454540.82276	0.02123	12.86492	0.0353874835813492	passive
2454326.71256	0.02286	12.85099	0.0226396526641501	passive
2453247.69432	0.02558	12.88407	0.0577739535529975	passive
2454681.71649	0.03143	12.9001	0.0785325054661801	passive
2453523.80886	0.03237	12.84501	0.0242378780752368	passive
2453492.82357	0.03415	12.82746	0.00821832311896387	passive
2454777.51459	0.03494	12.7157	-0.102852696891491	active
2454295.76204	0.03698	12.80864	-0.0081075817835714	active
2454895.85271	0.03903	12.86006	0.0451614766499624	active
2452737.80444	0.04028	12.8235	0.00974480028080826	passive
2453154.77565	0.04412	12.76145	-0.0487267886737524	passive
2455470.59843	0.04472	12.62953	-0.180079624931421	active
2453430.87621	0.04595	12.82255	0.0141090305335041	passive
2453168.86901	0.04656	12.79115	-0.0167085917201142	passive
2455281.85215	0.04927	12.83162	0.0263685098515474	passive
2455036.74941	0.05028	12.79012	-0.0141526107745129	passive
2455408.63441	0.05061	12.69214	-0.111812043291591	active
2454943.78616	0.053	12.83118	0.0295588968954572	passive
2453588.66653	0.05359	12.87516	0.0741164458901213	passive
2453281.58694	0.05576	12.80875	0.00983591846977383	passive
2454360.61464	0.0564	12.86832	0.0700351538975355	passive
2453509.79977	0.05985	12.80255	0.00766076717280129	passive
2452943.53104	0.06289	12.71086	-0.0810411138127733	passive
2455250.90803	0.06567	12.80156	0.0123785492433921	passive
2453140.75905	0.06893	12.77456	-0.0114593968405519	passive
2454763.53047	0.07128	12.68603	-0.0977353226207782	active
2454684.6479	0.07193	12.77937	-0.0037763856935964	passive
2454298.67899	0.07235	12.779	-0.00374760016564757	active
2454329.67961	0.07602	12.74822	-0.0310855767430169	passive
2454588.87122	0.07602	12.79616	0.0168544232569836	passive
2455070.63503	0.07798	12.83805	0.0605504435203912	passive
2453622.55875	0.08363	12.80518	0.0327926404295145	passive
2455425.63451	0.08479	12.63138	-0.13996973587574	active
2452929.51048	0.0863	12.75717	-0.0128325749835394	passive
2453109.82119	0.08754	12.74264	-0.0262582707734218	passive
2455267.88326	0.09102	12.79683	0.0310292243041257	passive
2452853.45821	0.09156	12.46843	-0.2968894789232	active
2453574.69437	0.09418	12.78794	0.0249623884165793	passive
2455377.76828	0.09468	12.72381	-0.0387189937806518	passive
2454574.83764	0.0948	12.81382	0.0513987738384465	passive
2455298.89164	0.09744	12.78383	0.0237912074693156	passive
2454315.65389	0.09759	12.77401	0.0141073292997671	passive
2453526.81102	0.09799	12.71998	-0.0395592279166745	passive
2453670.50715	0.1029	12.75574	0.00072639393400209	passive
2455315.81151	0.10314	12.76393	0.00914118136352471	passive
2453171.86285	0.10922	12.74701	-0.00194003900140594	passive
2452464.7259	0.11112	12.61851	-0.128549005014069	active
2453608.55321	0.11236	12.68374	-0.0620650558253342	passive
2455377.81845	0.11249	12.69691	-0.0487626431566976	passive
2454543.89948	0.11331	12.73686	-0.00797313796531007	passive
2453591.65264	0.11351	12.76473	0.0201027599461163	passive
2453639.56279	0.11921	12.79049	0.0519361550463611	passive
2455380.66275	0.12207	12.74804	0.0126993630014756	passive
2453512.79588	0.12332	12.73224	-0.00165760384765967	passive
2452740.86033	0.12497	12.73104	-0.000914685895580192	passive
2455459.57068	0.13043	12.46188	-0.263346104399998	active
2455301.80587	0.13184	12.71771	-0.00571457481878213	passive
2454284.7682	0.13472	12.56576	-0.153920247740729	active
2453529.73559	0.13607	12.76403	0.046130239365036	passive
2453625.53069	0.13852	12.69858	-0.0160559456971328	passive
2453656.52486	0.13989	12.74058	0.027783626257941	passive
2453112.78598	0.1399	12.74483	0.0320470845960088	passive
2453560.74559	0.14306	12.67569	-0.0328241119647892	passive
2453253.66018	0.14316	12.72145	0.0130713465889176	passive
2453174.78057	0.14486	12.59615	-0.109924519965123	passive
2453301.56055	0.14539	12.69286	-0.0124960427675926	passive
2452819.81779	0.1509	12.68067	-0.0172491469719116	passive
2454946.88329	0.15232	12.70927	0.0132474942206287	passive
2454301.72261	0.15269	12.61307	-0.0824603325236062	active
2454563.73202	0.15287	12.7235	0.0282087734554519	passive
2455042.67685	0.15423	12.73843	0.0449378155427151	passive
2454639.80555	0.15515	12.76226	0.0699765413347073	passive
2454546.85313	0.16171	12.70258	0.0186607738263564	passive
2454349.64216	0.16172	12.75468	0.0707731142395751	passive
2454577.84842	0.16348	12.65776	-0.0239980582298216	passive
2453577.7071	0.16354	12.69932	0.0176343599373343	passive
2452743.79969	0.1683	12.67735	0.00121239148044872	passive
2453673.51162	0.16934	12.74465	0.0696677668924757	passive
2455287.8284	0.17054	12.68085	0.00717293628492577	passive
2455445.61782	0.17786	12.40286	-0.263582826204527	active
2454901.88978	0.18189	12.6255	-0.0375139751786975	active
2452791.73421	0.18264	12.65117	-0.0112466686507737	passive
2453287.58601	0.18513	12.61908	-0.0414408135022377	passive
2454594.81505	0.18578	12.67546	0.015412656957313	passive
2453129.82001	0.18612	12.63158	-0.0282231231390444	passive
2452853.72776	0.18724	12.4075	-0.251515079527483	active
2455335.77047	0.18757	12.6733	0.0145123674642527	passive
2453594.68447	0.18966	12.67717	0.0197741358369168	passive
2452949.52456	0.19029	12.59786	-0.0591324310464039	passive
2453563.70445	0.19331	12.62866	-0.0264970303457712	passive
2452901.64921	0.19695	12.6272	-0.0259474738279906	passive
2452870.65937	0.19711	12.61286	-0.0402038952552157	passive
2455414.68659	0.19883	12.47131	-0.180879291596783	active
2454949.83257	0.19917	12.65673	0.00470854909127638	passive
2455304.8259	0.2038	12.64902	-0.000869432226901168	passive
2453484.85409	0.20539	12.6035	-0.0457181299669802	passive
2454887.87021	0.20564	12.57262	-0.0764951740091409	active
2454642.76532	0.20572	12.66346	0.0143776270032721	passive
2452918.58112	0.20693	12.62665	-0.0219446339153677	passive
2453194.68054	0.20835	12.66754	0.0194985158029048	active
2453628.54711	0.20919	12.58879	-0.0589335258085679	passive
2453659.53896	0.20974	12.65563	0.00811110375926738	passive
2455242.86369	0.21033	12.62055	-0.0267524087394158	passive
2453115.80192	0.2104	12.66633	0.0190530729222314	passive
2454952.68215	0.21063	12.62653	-0.0206635003720521	passive
2453146.79347	0.21085	12.66562	0.0185058745211837	passive
2454304.7092	0.21277	12.53108	-0.115358247587281	active
2454352.6183	0.2181	12.64661	0.00191245318290889	passive
2455028.77674	0.22038	12.62031	-0.0236906880752894	passive
2455352.77754	0.22422	12.53067	-0.11220037498912	passive
2454611.8345	0.22683	12.63671	-0.00541247952172874	passive
2454597.75069	0.22779	12.66605	0.0241985624757746	passive
2454369.55148	0.22853	12.68526	0.0436155870376407	passive
2454628.74725	0.23001	12.67114	0.0299038382663817	passive
2454755.52609	0.23013	12.4429	-0.198303434612718	active
2453273.62763	0.2306	12.68884	0.047764160596131	passive
2453676.51099	0.23396	12.71028	0.0700851164227476	passive
2452904.57947	0.23704	12.59435	-0.0450962883091801	passive
2454904.87173	0.24033	12.62095	-0.0177750560086167	passive
2453132.79756	0.243	12.63964	0.0014293541134105	passive
2452763.74034	0.24623	12.63472	-0.00296710459309324	passive
2454659.79252	0.24952	12.56649	-0.0707905887772124	passive
2455321.85985	0.25	12.64288	0.00564702631541536	passive
2454290.72884	0.25045	12.42338	-0.213811178637666	active
2453180.71268	0.25046	12.39715	-0.240040281462036	active
2452952.52332	0.2547	12.58572	-0.0512203768727133	passive
2453211.71843	0.25595	12.60031	-0.0366093832451071	passive
2455031.70107	0.25838	12.66361	0.0266571813596741	passive
2454273.84746	0.25841	12.39637	-0.240583865816181	active
2453211.72674	0.2589	12.64253	0.00555678059636477	passive
2454338.64915	0.25975	12.63065	-0.00636697193441904	passive
2453583.61441	0.26034	12.61476	-0.0222950643989286	passive
2453662.51534	0.26621	12.63865	0.000849329608863414	passive
2452873.6742	0.26722	12.64936	0.0113597538470938	passive
2455017.64311	0.26851	12.65984	0.0215524961071818	passive
2455245.84953	0.27015	12.64561	0.0069034045005818	passive
2454307.69071	0.27106	12.57364	-0.0653258717199705	active
2453135.69654	0.27199	12.666	0.0267489703592521	passive
2454724.65441	0.27223	12.65929	0.0199620230532904	passive
2453631.54796	0.27434	12.66064	0.0205749421072667	passive
2452921.5933	0.2761	12.6123	-0.0284651547765709	passive
2454645.79231	0.28015	12.64907	0.00639942120334958	passive
2455307.86512	0.28257	12.65125	0.00724982482216419	passive
2454355.61734	0.28261	12.68056	0.0365366717593378	passive
2453293.50422	0.28579	12.61399	-0.0319942015931165	passive
2452890.63709	0.2882	12.65147	0.00384446521474402	passive
2453149.83075	0.28893	12.64798	-0.000168568093476651	passive
2453087.85431	0.29041	12.61673	-0.0325152980648475	passive
2454372.54436	0.29085	12.66312	0.0135393478337473	passive
2455355.78684	0.29238	12.67989	0.0291104478794733	passive
2455048.70682	0.29456	12.62507	-0.0275044764845482	passive
2455276.90867	0.29459	12.64696	-0.00563987846643599	passive
2454938.83237	0.29465	12.66425	0.0115992609260438	passive
2454907.84469	0.29558	12.61761	-0.0358387005020511	passive
2455324.81554	0.29912	12.68262	0.0259712557294716	passive
2455386.79784	0.29972	12.61351	-0.0437061765663405	passive
2454758.55092	0.30379	12.39387	-0.267381010390578	active
2455293.83921	0.30408	12.67346	0.0119093772407481	passive
2454600.78487	0.30477	12.67072	0.00845015568162744	passive
2453217.49198	0.30527	12.63985	-0.0229465739771282	passive
2455341.74359	0.30773	12.69058	0.0251249504576201	passive
2455375.55266	0.30825	12.6473	-0.0187310494476769	passive
2452876.61069	0.30953	12.59358	-0.0738894054448878	passive
2455372.74081	0.31018	12.69513	0.0269191289027493	passive
2453648.55542	0.31114	12.75228	0.0829605964862914	passive
2453104.8231	0.31347	12.64716	-0.0249154359231358	passive
2452924.51894	0.31455	12.67055	-0.00283378077573282	passive
2453245.69211	0.3149	12.64581	-0.028001905168626	passive
2454276.82727	0.31609	12.52881	-0.146472444600148	active
2454245.83717	0.31616	12.51603	-0.159339659420731	active
2453490.81743	0.32207	12.70641	0.0234010635807422	passive
2453152.74426	0.32308	12.69102	0.00665284229826746	passive
2454775.51002	0.32342	12.49717	-0.187657714387177	active
2454538.85823	0.32392	12.71604	0.0305319755193949	passive
2453521.81334	0.32407	12.69925	0.0135371848966894	passive
2454293.75819	0.32572	12.48049	-0.207496494993201	active
2453197.82913	0.32594	12.60859	-0.0797025207804065	active
2455375.60581	0.32711	12.67307	-0.016861090893908	passive
2453569.71896	0.32815	12.71797	0.0265670720315789	passive
