# jd	phase	mag	magdiff	activity
2453089.86521	0.00417000000000001	12.99626	-0.0277879446028582	passive
2452892.65968	0.00612000000000001	13.0044	-0.018563720910393	passive
2454760.5307	0.00651000000000002	13.00939	-0.0133540721277452	active
2455295.82162	0.00773000000000001	13.04568	0.0236274412130406	passive
2452940.55872	0.00787000000000004	13.004	-0.0179728552032472	passive
2452782.79353	0.00914999999999999	13.0111	-0.0101419167951757	passive
2452396.8337	0.0128	13.02833	0.00917313305831691	passive
2452878.59902	0.01529	12.98736	-0.0304002560049064	passive
2454926.77891	0.01628	13.06021	0.0429934907121634	passive
2455453.61459	0.01631	12.94272	-0.0744801595544171	active
2452334.8668	0.01766	13.06261	0.0461367914640913	passive
2455343.7439	0.01774	13.04475	0.0283192915732009	passive
2453650.54637	0.01783	13.06691	0.0505270214152791	passive
2454247.8164	0.01869	12.96508	-0.05085150976047	active
2455501.51566	0.01879	12.94537	-0.0705095792911443	active
2452813.81214	0.0192	13.02609	0.0104220363132761	passive
2454540.82045	0.02041	13.07239	0.0573335948922562	passive
2454326.71034	0.02207	12.9941	-0.0201525584558713	passive
2452957.50832	0.02413	12.96861	-0.0447103515444418	passive
2453247.6918	0.02469	13.02722	0.0141390920619511	passive
2452041.9015	0.02969	13.02638	0.0151684880601	passive
2454681.71402	0.03055	13.05224	0.0413076642778734	passive
2454777.5121	0.03406	12.9339	-0.0759918236307975	active
2454295.75981	0.0361900000000001	12.97849	-0.0308315634510414	active
2454895.85041	0.03821	13.00371	-0.00510002105596108	active
2452737.80123	0.03914	13.01637	0.00778882351717236	passive
2452027.844	0.03999	13.04084	0.0324655063312225	passive
2452351.8352	0.04059	13.05697	0.0487404086948526	passive
2454343.67092	0.04223	12.99959	-0.00824534011823275	passive
2453154.77313	0.04323	13.05121	0.0436155389441417	passive
2455470.5961	0.0439000000000001	12.83849	-0.168942094266136	active
2453430.87377	0.04509	13.02342	0.0162795450201365	passive
2453168.8665	0.04566	12.96228	-0.0447187770869544	passive
