# jd	phase	mag	magdiff	activity
2453089.86248	0.00321000000000005	12.8518	0.0275440174783306	passive
2452892.65705	0.00517999999999996	12.79197	-0.031141912817974	passive
2454760.52816	0.00561	12.8842	0.0613308490906679	active
2453413.86156	0.00661	12.80469	-0.0176254717272215	passive
2455295.81908	0.00683	12.79175	-0.0304458180516924	passive
2452940.55599	0.00690000000000002	12.82141	-0.000747916156653261	passive
2452782.78914	0.00758999999999999	12.79746	-0.024328827435772	passive
2452086.9192	0.00871	12.73478	-0.0864281559480169	passive
2452878.59637	0.01435	12.83719	0.0184868515243561	passive
2452396.8381	0.01436	12.88956	0.0708605743621273	passive
2454926.77645	0.0154	12.74965	-0.0686780047644309	passive
2455453.61208	0.01542	12.68464	-0.13368117369596	active
2455343.74142	0.01686	12.77625	-0.0416115834034603	passive
2453650.54377	0.0169	12.87109	0.0532402523220696	passive
2452813.80771	0.01763	12.93013	0.112487100638841	passive
2454247.81401	0.01784	12.77292	-0.0446666590337941	active
2455501.51316	0.0179	12.77527	-0.0423008623678189	active
2452334.8704	0.01894	12.90699	0.0896733562366858	passive
2454540.81798	0.01953	12.88819	0.0710006931473437	passive
2454326.70796	0.02123	12.91204	0.0951459437590714	passive
2452957.50558	0.02315	12.79646	-0.0202359891001436	passive
2452041.8971	0.02813	12.86681	0.0499016513103072	passive
2454681.71151	0.02966	12.9494	0.132226326195264	passive
2454777.50954	0.03315	12.75478	-0.063290888576951	active
2454295.75743	0.03535	12.75472	-0.0640931036622483	active
2452027.8349	0.03676	12.82148	0.00213217453182502	passive
2454895.84795	0.03734	12.79224	-0.0273394549753121	active
2454343.66852	0.04138	12.80661	-0.0147317952890624	passive
2452351.8388	0.04187	12.93154	0.109970760833342	passive
2453154.77058	0.04232	12.86027	0.0384900198389619	passive
2455470.5936	0.04301	12.60221	-0.219896128608344	active
2453430.87096	0.04409	12.76369	-0.0589324398122884	passive
2453168.86398	0.04477	12.83176	0.00880987095343855	passive
2455281.84731	0.04756	12.85783	0.033529908494609	passive
2455036.74472	0.04862	12.83952	0.0147112575043593	passive
2455408.62959	0.0489000000000001	12.65641	-0.16853216490469	active
2454943.78139	0.0513	12.89155	0.065488814846189	passive
2452492.7367	0.05354	12.93976	0.112712252150692	passive
2453281.58187	0.05396	12.80505	-0.0221745080871134	passive
2454360.60987	0.0547	12.80085	-0.0266785934927487	passive
2452382.8711	0.05677	12.8362	0.00787724114466037	passive
2451996.9053	0.0583	12.91283	0.0839821683115947	passive
2452895.62535	0.0587800000000001	12.81696	-0.0120403208830826	passive
2453092.83871	0.05962	12.77943	-0.0498219918732854	passive
2452943.52574	0.06101	12.86443	0.0348069771147337	passive
2455250.90366	0.06411	12.72227	-0.107950261173348	passive
2453140.75401	0.06714	12.85603	0.0255826760281881	passive
2453202.73633	0.06775	12.67969	-0.150755097915443	active
2454684.64294	0.07017	12.90846	0.0781977755060037	passive
2454298.67439	0.07072	12.70306	-0.127119820230556	active
2452075.8265	0.07136	12.90916	0.0790960838865633	passive
2452399.8225	0.07367	12.86063	0.0311719602864233	passive
2454588.86643	0.0743200000000001	12.83638	0.00714784561096415	passive
2454329.67495	0.07436	12.82011	-0.00910742971162826	passive
2455070.63034	0.07631	12.95944	0.131058450101849	passive
2452337.8512	0.07697	12.94222	0.114173063739129	passive
2455425.62969	0.08308	12.61893	-0.204878705718707	active
2452140.661	0.08435	12.79803	-0.0246607162940577	passive
2452929.5051	0.08439	12.81257	-0.0100842890429043	passive
2453109.81597	0.08569	12.82396	0.0025286982027577	passive
2452853.45118	0.08907	12.44374	-0.374177648841432	active
2455267.87845	0.08931	12.82505	0.00739896691769459	passive
2454574.83287	0.09311	12.8148	0.00164068523842964	passive
2455377.76387	0.09312	12.70119	-0.111956867396495	passive
2455298.88672	0.0956900000000001	12.74706	-0.0627907676298278	passive
2454315.64929	0.09596	12.7955	-0.0139938723937512	passive
2452157.6098	0.10033	12.84263	0.0391516992219856	passive
2453670.50217	0.10113	12.8242	0.0218653478430433	passive
2452495.6883	0.10121	12.79341	-0.00880967044030001	passive
2455315.80674	0.10145	12.71122	-0.0906540767582449	passive
2453171.85781	0.10743	12.8874	0.0943845883828747	passive
2454543.89461	0.11158	12.79244	0.00572852834490689	passive
2452016.7777	0.112	12.73016	-0.0559120949510934	passive
2452464.7285	0.11204	12.49225	-0.293761212691694	active
2452354.8542	0.11218	12.82315	0.0373518561905506	passive
2452898.6058	0.11669	12.7668	-0.0121780158825349	passive
2453639.55737	0.11728	12.7554	-0.022696551655951	passive
2455380.65792	0.12036	12.67781	-0.0957516132037775	passive
2452740.85271	0.12227	12.81654	0.0457193929136803	passive
2455459.56585	0.12871	12.45647	-0.305665414498147	active
2455301.80087	0.13007	12.71805	-0.0423679185630252	passive
2454284.7636	0.13309	12.43502	-0.321717271577009	active
2452467.6063	0.13351	12.74097	-0.0152692500136613	passive
2452512.6849	0.13415	12.62135	-0.134136589727797	passive
2452371.8243	0.13572	12.75205	-0.00162117032245845	passive
2453112.78091	0.1381	12.76897	0.0179713193893871	passive
2453656.51986	0.13811	12.73878	-0.0122076444379591	passive
2453174.77566	0.14312	12.69905	-0.0465927867862383	passive
